col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18,col19,col20,col21,col22,col23
91,53.1306522,-27.790271,0.67,21.01,155.1,0.16,0.86,8.2,0.21,9.99,0.11,-21.23,0.36,-22.05,0.38,156.35,3.56,17.2,10.54,0.02,10.76,0.02
92,53.1315689,-27.83461,0.54,21.52,175.9,0.04,0.94,6.56,0.19,9.75,0.06,-19.92,0.2,-20.78,0.21,121.39,7.64,15.16,10.23,0.04,10.45,0.04
93,53.1325944,-27.8848397,0.57,22.04,12.3,0.07,0.91,2.86,0.2,9.29,0.12,-19.79,0.36,-20.35,0.37,85.4,11.59,31.49,9.56,0.1,9.96,0.1
94,53.1501249,-27.7399443,1.04,21.98,150.9,0.13,0.84,7.6,0.61,9.78,0.05,-21.45,0.15,-22.33,0.16,102.68,5.83,22.23,10.14,0.05,10.44,0.05
95,53.1618979,-27.845847,1.02,21.18,155.4,0.09,0.7,18.44,0.24,10.96,0.1,-21.99,0.31,-23.38,0.33,239.55,11.57,9.75,11.27,0.03,11.43,0.03
96,53.1652091,-27.8739439,1.1,22.36,11.7,2.74,0.84,5.43,0.25,9.48,0.03,-21.29,0.09,-21.58,0.1,105.95,36.18,31.55,10.03,0.29,10.38,0.29
97,53.1661777,-27.7875194,1.09,21.42,13.8,0.1,0.62,7.85,0.24,10.11,0.02,-22.11,0.06,-23.26,0.06,194.59,23.94,22.59,10.71,0.08,10.93,0.08
98,53.1756113,-27.8385321,0.46,21.74,150.7,0.0,0.99,6.27,0.17,9.54,0.06,-19.71,0.19,-19.8,0.19,121.07,1.92,6.07,10.2,0.02,10.37,0.02
99,53.1149404,-27.8281228,0.29,22.43,172.8,0.01,0.99,3.13,0.13,8.72,0.08,-17.53,0.24,-18.41,0.26,68.83,9.29,9.76,9.41,0.09,9.65,0.09
100,53.1252794,-27.721939,1.1,21.59,164.1,0.13,0.83,3.89,0.25,10.33,0.09,-22.02,0.28,-23.73,0.3,161.0,20.03,34.6,10.24,0.09,10.54,0.09
101,53.1074326,-27.8171208,0.74,22.35,147.2,0.07,0.94,4.83,0.22,9.5,0.12,-19.91,0.38,-20.7,0.39,137.14,34.51,24.27,10.2,0.19,10.47,0.19
102,53.0287586,-27.7268794,0.68,22.32,125.0,0.2,0.91,6.06,0.24,9.64,0.23,-20.05,0.73,-20.37,0.74,90.75,60.5,20.66,9.94,1.25,10.24,1.25
103,53.0298397,-27.7322072,1.21,21.92,125.0,0.26,0.71,9.93,0.25,10.73,0.08,-21.8,0.27,-22.84,0.28,236.12,11.0,18.75,10.98,0.03,11.18,0.03
104,53.0512577,-27.7536306,0.65,21.38,152.4,0.11,0.57,4.9,0.21,10.04,0.07,-20.73,0.22,-21.84,0.23,147.08,16.97,29.24,10.27,0.08,10.55,0.08
105,53.0860363,-27.7880857,0.73,21.14,119.8,0.04,0.82,8.24,0.24,10.22,0.08,-21.36,0.26,-22.21,0.27,174.71,11.72,18.88,10.64,0.05,10.86,0.05
106,53.0873384,-27.7430057,0.52,21.68,110.9,0.05,0.95,4.41,0.21,9.53,0.14,-20.05,0.45,-20.88,0.46,101.29,8.9,21.53,9.9,0.06,10.19,0.06
107,53.1014514,-27.790275,0.52,21.83,121.6,0.01,0.74,3.34,0.19,9.56,0.06,-19.7,0.19,-20.52,0.2,121.97,52.84,32.64,9.94,0.41,10.27,0.41
108,53.1498877,-27.8140021,1.31,21.63,105.3,0.45,0.87,3.72,0.4,10.1,0.05,-22.65,0.16,-22.75,0.16,92.48,41.14,34.67,9.74,0.44,10.15,0.44
109,53.1868748,-27.8411662,0.78,21.78,101.7,0.21,0.97,3.26,0.22,9.45,0.2,-21.05,0.68,-21.22,0.68,76.75,5.14,30.18,9.52,0.05,9.94,0.05
110,53.2517392,-27.8744992,1.09,21.79,142.1,0.16,0.89,10.49,0.24,11.04,0.06,-22.13,0.21,-1.0,1.0,187.84,74.79,14.67,10.81,0.36,11.0,0.36
111,53.0407214,-27.7581556,0.61,22.42,100.0,0.01,1.0,2.83,0.2,9.22,0.24,-19.73,0.77,-20.28,0.8,108.49,27.08,41.47,9.76,0.19,10.17,0.19
112,53.176342,-27.8306447,0.46,20.33,100.0,0.48,0.87,7.99,0.19,10.32,0.06,-20.63,0.18,-21.81,0.19,121.36,51.5,14.5,10.31,0.4,10.53,0.4
113,53.232835,-27.8911055,0.98,21.48,102.8,0.04,0.83,8.55,0.24,10.2,0.02,-21.73,0.07,-23.14,0.07,224.71,27.06,19.74,10.88,0.08,11.07,0.08
114,53.1148777,-27.7253934,0.74,22.43,145.9,0.09,0.96,5.88,0.22,9.36,0.11,-19.82,0.36,-20.34,0.38,98.23,8.67,17.32,9.99,0.06,10.26,0.06
115,53.1128096,-27.7346259,0.74,22.24,153.8,0.01,0.99,5.28,0.22,9.35,0.05,-20.68,0.18,-21.04,0.18,96.72,10.94,8.44,9.93,0.08,10.13,0.08
116,53.0728469,-27.7376055,0.4,22.13,150.6,0.04,0.92,3.52,0.16,9.29,0.08,-18.91,0.22,-19.35,0.22,82.45,30.65,26.07,9.62,0.33,9.98,0.33
117,53.0512577,-27.7536306,0.65,21.38,152.4,0.11,0.57,4.9,0.21,10.04,0.07,-20.73,0.22,-21.84,0.23,143.03,23.21,29.24,10.24,0.12,10.53,0.12
118,53.0648264,-27.7166241,0.25,21.85,136.3,0.03,0.97,4.55,0.12,8.95,0.2,-17.45,0.61,-17.95,0.63,68.31,2.13,10.61,9.57,0.02,9.82,0.02
119,53.1409683,-27.7966479,0.34,21.72,130.4,0.0,0.87,3.37,0.15,9.23,0.15,-18.68,0.46,-19.47,0.48,83.04,7.8,28.79,9.61,0.07,9.99,0.07
120,53.1590581,-27.8326217,0.51,21.89,133.1,0.05,0.54,12.44,0.19,9.39,0.11,-19.65,0.37,-20.09,0.38,162.29,3.02,9.96,10.76,0.01,10.93,0.01
121,53.1868748,-27.8411662,0.78,21.78,101.7,0.21,0.97,3.26,0.22,9.45,0.2,-21.05,0.68,-21.22,0.68,55.35,2.33,30.18,9.24,0.04,9.74,0.04
122,53.2035021,-27.8728287,0.33,20.74,142.1,0.0,0.98,5.32,0.14,9.77,0.07,-19.57,0.22,-20.72,0.24,121.86,4.09,10.84,10.14,0.02,10.34,0.02
123,53.0333599,-27.7294943,0.47,21.59,106.2,0.02,0.99,6.3,0.22,9.93,0.05,-19.37,0.14,-20.95,0.15,139.27,9.91,8.81,10.33,0.05,10.51,0.05
124,189.20709,62.22039,0.47,21.28,84.3,0.02,0.98,6.89,0.18,10.3,0.04,-19.73,0.13,-23.79,0.16,110.79,16.73,9.69,10.17,0.11,10.37,0.11
125,189.3557,62.2689,0.57,22.37,174.0,0.09,0.99,5.99,0.2,9.16,0.15,-19.74,0.49,-22.04,0.55,100.53,3.25,10.94,10.02,0.03,10.24,0.03
126,189.3376,62.24622,0.5,21.46,165.8,0.04,0.94,7.76,0.18,9.97,0.08,-20.02,0.25,-23.07,0.28,143.48,18.89,12.73,10.44,0.09,10.64,0.09
127,189.2403,62.35742,0.53,21.72,151.2,0.02,0.99,4.86,0.4,10.16,0.05,-19.81,0.16,-23.65,0.19,116.28,5.71,12.46,10.06,0.05,10.27,0.05
128,189.2838,62.33005,0.32,21.6,10.8,0.01,1.0,5.41,0.14,9.47,0.08,-18.31,0.23,-21.98,0.28,84.01,8.25,6.79,9.82,0.07,10.02,0.07
129,189.25519,62.30652,0.94,22.38,159.4,0.01,0.79,6.61,0.24,9.6,0.08,-21.36,0.29,-23.97,0.32,115.01,4.11,26.17,10.18,0.03,10.49,0.03
